Unnamed: 0,Unsaturated_SMILES,Saturated_SMILES,nH2,pH2
0,C#N,CN,2,12.986515894771411
1,CC#N,CCN,2,8.946943090778358
5,C#CC#N,CCCN,4,13.64842163267245
6,N#CC#N,NCCN,4,13.422287778728034
7,O=CC#C,OCCC,3,10.0685987498568
8,O=CC#N,OCCN,3,9.904465926310827
9,CCC#N,CCCN,2,6.824210816336225
10,NCC#N,NCCN,2,6.711143889364017
11,OCC#C,OCCC,2,6.712399166571199
12,OCC#N,OCCN,2,6.602977284207219
16,N1C=CC=C1,N1CCCC1,2,5.672015826411744
17,N1C=CN=C1,N1CCNC1,2,5.59368689696144
18,O1C=CC=C1,O1CCCC1,2,5.594558922740052
19,O1C=CN=C1,O1CCNC1,2,5.518340328106695
20,CC(=O)C#C,CC(O)CC,3,8.163482952156947
21,CC(=O)C#N,CC(O)CN,3,8.055252372070667
22,NC(=O)C#C,NC(O)CC,3,8.055252372070667
24,CC(C)C#C,CC(C)CC,2,5.591735370853477
25,CC(C)C#N,CC(C)CN,2,5.515593167715101
41,C#CCC#N,CCCCN,4,11.031186335430204
42,N#CCC#N,NCCCN,4,10.882993503131951
43,O=CCC#C,OCCCC,3,8.163482952156947
44,O=CCC#N,OCCCN,3,8.055252372070667
48,CC#CC#N,CCCCN,4,11.031186335430204
50,CCCC#N,CCCCN,2,5.515593167715101
58,C#CC1CN1,CCC1CN1,2,5.672015826411744
59,N#CC1CC1,NCC1CC1,2,5.672015826411744
60,N#CC1CN1,NCC1CN1,2,5.59368689696144
61,N#CC1CO1,NCC1CO1,2,5.518340328106695
66,N1C=CC=N1,N1CCCN1,2,5.59368689696144
67,N1C=CN=N1,N1CCNN1,2,5.517491899109785
68,N1C=NC=N1,N1CNCN1,2,5.517491899109785
69,N1C=NN=C1,N1CNNC1,2,5.517491899109785
70,N1N=CC=N1,N1NCCN1,2,5.517491899109785
71,O1C=CC=N1,O1CCCN1,2,5.518340328106695
79,CC(=NO)C#C,CC(NO)CC,3,6.787914608274509
110,C1=CC=NC=C1,C1CCNCC1,3,7.106605528496643
111,C1=CN=CC=N1,C1CNCCN1,3,7.0244438132932965
112,C1=CN=CN=C1,C1CNCNC1,3,7.0244438132932965
113,C1=NC=NC=N1,C1NCNCN1,3,6.944160180163358
119,CC#CC(N)=O,CCCC(N)O,3,6.787914608274509
120,CC(=O)CC#C,CC(O)CCC,3,6.864606127038277
121,CC(=O)CC#N,CC(O)CCN,3,6.787914608274509
122,NC(=O)CC#C,NC(O)CCC,3,6.787914608274509
123,NC(=O)CC#N,NC(O)CCN,3,6.712917755076293
159,O=C(C#C)C#C,OC(CC)CC,5,11.441010211730465
160,O=C(C#C)C#N,OC(CC)CN,5,11.31319101379085
161,O=C(C#N)C#N,OC(CN)CN,5,11.18819625846049
162,O=CC(=O)C#C,OCC(O)CC,4,8.951673329094344
163,O=CC(=O)C#N,OCC(O)CN,4,8.853838736545768
164,CC(C#C)C#C,CC(CC)CC,4,9.363189348978027
165,CC(C#C)C#N,CC(CC)CN,4,9.256206672945972
166,CC(C#N)C#N,CC(CN)CN,4,9.1516411215323
167,NC(C#C)C#N,NC(CC)CN,4,9.1516411215323
168,NC(C#N)C#N,NC(CN)CN,4,9.049411692455628
169,OC(C#C)C#C,OC(CC)CC,4,9.15280816938437
170,OC(C#C)C#N,OC(CC)CN,4,9.05055281103268
171,OC(C#N)C#N,OC(CN)CN,4,8.950557006768392
172,CC(C=O)C#C,CC(CO)CC,3,6.864606127038277
173,CC(C=O)C#N,CC(CO)CN,3,6.787914608274509
174,OC(C=O)C#C,OC(CO)CC,3,6.713754996820759
175,OC(C=O)C#N,OC(CO)CN,3,6.640379052409324
179,CN=C(N)C#N,CNC(N)CN,3,6.787058769341721
181,CCC(=O)C#N,CCC(O)CN,3,6.787914608274509
182,CNC(=N)C#N,CNC(N)CN,3,6.787058769341721
183,CNC(=O)C#C,CNC(O)CC,3,6.787914608274509
184,COC(=O)C#C,COC(O)CC,3,6.713754996820759
185,COC(=O)C#N,COC(O)CN,3,6.640379052409324
186,OCC(=O)C#C,OCC(O)CC,3,6.713754996820759
187,OCC(=O)C#N,OCC(O)CN,3,6.640379052409324
254,C#CC#CC#N,CCCCCN,6,13.88431000941896
255,N#CC#CC#N,NCCCCN,6,13.72746168229845
256,C#CCCC#N,CCCCCN,4,9.256206672945972
257,N#CCCC#N,NCCCCN,4,9.1516411215323
258,O=CC#CC#C,OCCCCC,5,11.441010211730465
259,O=CC#CC#N,OCCCCN,5,11.31319101379085
260,N=COCC#C,NCOCCC,3,6.787914608274509
261,N=COCC#N,NCOCCN,3,6.712917755076293
262,O=CCCC#C,OCCCCC,3,6.864606127038277
263,O=CCCC#N,OCCCCN,3,6.787914608274509
264,O=CNCC#C,OCNCCC,3,6.787914608274509
265,O=CNCC#N,OCNCCN,3,6.712917755076293
266,O=COCC#C,OCOCCC,3,6.713754996820759
267,O=COCC#N,OCOCCN,3,6.640379052409324
271,CC#CCC#N,CCCCCN,4,9.256206672945972
274,CCC#CC#N,CCCCCN,4,9.256206672945972
275,OCC#CC#C,OCCCCC,4,9.15280816938437
276,OCC#CC#N,OCCCCN,4,9.05055281103268
335,C1=CN=NC=C1,C1CNNCC1,3,7.0244438132932965
336,C1=CN=NN=C1,C1CNNNC1,3,6.944160180163358
337,C1=NN=CN=N1,C1NNCNN1,3,6.865690961955639
338,C1=NN=NC=N1,C1NNNCN1,3,6.865690961955639
339,C1=NN=NN=C1,C1NNNNC1,3,6.865690961955639
401,CC#CC(C)=NO,CCCC(C)NO,3,5.865147394966144
402,CC(CC#C)=NO,CC(CCC)NO,3,5.865147394966144
403,CC(CC#N)=NO,CC(CCN)NO,3,5.809070888250025
415,ON=C(C#C)C#C,ONC(CC)CC,5,9.775245658276903
416,CCC(=NO)C#C,CCC(NO)CC,3,5.865147394966144
417,OCC(=NO)C#C,OCC(NO)CC,3,5.7546716508152
502,O=C1C=CNC=C1,OC1CCNCC1,3,5.982100396829104
503,O=C1C=CNC=N1,OC1CCNCN1,3,5.923776343943716
504,O=C1C=COC=N1,OC1CCOCN1,3,5.867218028337961
505,O=C1N=COC=N1,OC1NCOCN1,3,5.811102109513693
506,N=C1OC=CC=C1,NC1OCCCC1,3,5.982100396829104
507,N=C1OC=CC=N1,NC1OCCCN1,3,5.923776343943716
508,N=C1OC=CN=C1,NC1OCCNC1,3,5.923776343943716
509,N=C1OC=NC=C1,NC1OCNCC1,3,5.923776343943716
510,N=C1OC=NC=N1,NC1OCNCN1,3,5.866578601029855
511,O=C1NC=CC=C1,OC1NCCCC1,3,5.982100396829104
512,O=C1NC=CC=N1,OC1NCCCN1,3,5.923776343943716
513,O=C1NC=CN=C1,OC1NCCNC1,3,5.923776343943716
514,O=C1NC=NC=C1,OC1NCNCC1,3,5.923776343943716
515,O=C1NC=NC=N1,OC1NCNCN1,3,5.866578601029855
516,O=C1OC=CC=C1,OC1OCCCC1,3,5.924428301254889
517,O=C1OC=CC=N1,OC1OCCCN1,3,5.867218028337961
518,O=C1OC=CN=C1,OC1OCCNC1,3,5.867218028337961
519,O=C1OC=NC=C1,OC1OCNCC1,3,5.867218028337961
520,O=C1OC=NC=N1,OC1OCNCN1,3,5.811102109513693
521,CC1=CC=NC=C1,CC1CCNCC1,3,6.101571495662345
522,CC1=CN=CC=C1,CC1CNCCC1,3,6.101571495662345
523,CC1=CN=CC=N1,CC1CNCCN1,3,6.0409063628050585
