,unsat_SMILE,sat_SMILE,unsat_enthalpy,sat_enthalpy,nH2,pH2,delta_H
0,C#C,CC,-77.208448,-79.657478,2,13.42,150.735206
1,C=O,CO,-114.367776,-115.566787,1,6.29,83.774454
2,CC#C,CCC,-116.45487,-118.895579,2,9.15,139.8118132
3,CC=O,CCO,-153.618376,-154.809561,1,4.38,63.227291
4,CC(C)=O,CC(C)O,-192.867362,-194.054239,1,3.36,51.916637
5,C#CC#C,CCCC,-153.249705,-158.133899,4,13.88,141.6339103
6,O=CC=O,OCCO,-227.566781,-229.961345,2,6.5,79.2349645
7,CC#CC,CCCC,-155.699066,-158.133899,2,6.94,132.0980943
8,CCC#C,CCCC,-155.692101,-158.133899,2,6.94,141.241398
9,CCC=O,CCCO,-192.855181,-194.04731,1,3.36,65.705763
10,OCC=O,OCCO,-228.764971,-229.961345,1,3.25,76.8510105
11,CC(=O)C=O,CC(O)CO,-266.81847,-269.207319,2,5.3,71.73259825
12,CC(C)C=O,CC(C)CO,-232.096212,-233.288954,1,2.72,67.3151945
13,CC(O)C=O,CC(O)CO,-268.010079,-269.207319,1,2.65,79.1246935
14,CC(=O)CO,CC(O)CO,-268.020813,-269.207319,1,2.65,50.9425765
15,CCC(C)=O,CCC(C)O,-232.105877,-233.292527,1,2.72,51.3206485
16,O=C1CCC1,OC1CCC1,-230.883881,-232.070463,1,2.8,51.1421145
17,O=C1COC1,OC1COC1,-266.783499,-267.972009,1,2.72,56.2040785
18,C#CCC#C,CCCCC,-192.482562,-197.3722,4,11.18,145.2072157
19,CC#CC#C,CCCCC,-192.497236,-197.3722,4,11.18,135.575569
20,CC#CC=O,CCCCO,-229.652735,-233.285405,3,8.16,114.9627685
21,CC#CCO,CCCCO,-230.843984,-233.285405,2,5.44,140.7464912
22,CCC#CC,CCCCC,-194.936506,-197.3722,2,5.59,133.228372
23,CCCC#C,CCCCC,-194.930642,-197.3722,2,5.59,140.926338
24,CCCC=O,CCCCO,-232.093429,-233.285405,1,2.72,65.3040615
25,COCC=O,COCCO,-267.989162,-269.186663,1,2.65,79.809949
26,OCCC=O,OCCCO,-268.004765,-269.197457,1,2.65,67.1839195
27,C#CC1CC1,CCC1CC1,-193.707791,-196.149902,2,5.75,141.6522888
28,C#CC1CO1,CCC1CO1,-229.610695,-232.059358,2,5.59,150.2534268
29,O=CC1CC1,OCC1CC1,-230.875273,-232.062773,1,2.8,53.5523235
30,O=CC1CN1,OCC1CN1,-246.910804,-248.098755,1,2.76,54.736424
31,O=CC1CO1,OCC1CO1,-266.777523,-267.972565,1,2.72,73.3538445
32,CC1=CC=CO1,CC1CCCO1,-268.944627,-271.329942,2,4.68,67.09333975
