unsat_SMILE,sat_SMILE,delta_H,nH2,pH2
C#C,CC,150.735206,2,13.42
C=O,CO,83.774454,1,6.29
CC#C,CCC,139.8118132,2,9.15
CC=O,CCO,63.227291,1,4.38
CC(C)=O,CC(C)O,51.916637,1,3.36
C#CC#C,CCCC,141.6339103,4,13.88
O=CC=O,OCCO,79.2349645,2,6.5
CC#CC,CCCC,132.0980943,2,6.94
CCC#C,CCCC,141.241398,2,6.94
CCC=O,CCCO,65.705763,1,3.36
OCC=O,OCCO,76.8510105,1,3.25
CC(=O)C=O,CC(O)CO,71.73259825,2,5.3
CC(C)C=O,CC(C)CO,67.3151945,1,2.72
CC(O)C=O,CC(O)CO,79.1246935,1,2.65
CC(=O)CO,CC(O)CO,50.9425765,1,2.65
CCC(C)=O,CCC(C)O,51.3206485,1,2.72
O=C1CCC1,OC1CCC1,51.1421145,1,2.8
O=C1COC1,OC1COC1,56.2040785,1,2.72
C#CCC#C,CCCCC,145.2072157,4,11.18
CC#CC#C,CCCCC,135.575569,4,11.18
CC#CC=O,CCCCO,114.9627685,3,8.16
CC#CCO,CCCCO,140.7464912,2,5.44
CCC#CC,CCCCC,133.228372,2,5.59
CCCC#C,CCCCC,140.926338,2,5.59
CCCC=O,CCCCO,65.3040615,1,2.72
COCC=O,COCCO,79.809949,1,2.65
OCCC=O,OCCCO,67.1839195,1,2.65
C#CC1CC1,CCC1CC1,141.6522888,2,5.75
C#CC1CO1,CCC1CO1,150.2534268,2,5.59
O=CC1CC1,OCC1CC1,53.5523235,1,2.8
O=CC1CN1,OCC1CN1,54.736424,1,2.76
O=CC1CO1,OCC1CO1,73.3538445,1,2.72
CC1=CC=CO1,CC1CCCO1,67.09333975,2,4.68
C1=CC=CC=C1,C1CCCCC1,62.54816167,3,7.19
CC(C)(C)C=O,CC(C)(C)CO,65.8974245,1,2.29
CC(C)(O)C=O,CC(C)(O)CO,72.610828,1,2.24
CC#CC(C)=O,CCCC(C)O,110.013701,3,6.86
CC#CC(C)C,CCCC(C)C,133.102348,2,4.68
CC#CC(C)O,CCCC(C)O,138.2785213,2,4.58
CC(=O)CC=O,CC(O)CCO,61.75044725,2,4.48
CC(C)CC=O,CC(C)CCO,61.919792,1,2.29
CC(O)CC=O,CC(O)CCO,68.782849,1,2.24
CC(=O)CCO,CC(O)CCO,50.446357,1,2.24
CCCC(C)=O,CCCC(C)O,50.3754685,1,2.29
COCC(C)=O,COCC(C)O,73.582263,1,2.24
CC(=O)C(C)=O,CC(O)C(C)O,61.6493655,2,4.48
CC(C)C(C)=O,CC(C)C(C)O,52.079418,1,2.29
CC(O)C(C)=O,CC(O)C(C)O,49.3725275,1,2.24
CC1CC(=O)C1,CC1CC(O)C1,50.9110705,1,2.34
CN1CC(=O)C1,CN1CC(O)C1,58.23359,1,2.32
OC1CC(=O)C1,OC1CC(O)C1,53.103363,1,2.29
O=CC(=O)C=O,OCC(O)CO,94.76567217,3,6.57
CC(C=O)C=O,CC(CO)CO,71.69584125,2,4.48
CCC(=O)C#C,CCC(O)CC,117.501627,3,6.86
CCC(=O)C=O,CCC(O)CO,70.87405975,2,4.48
OCC(=O)C=O,OCC(O)CO,91.51574075,2,4.38
CCC(=O)CC,CCC(O)CC,48.718778,1,2.29
CCC(=O)CO,CCC(O)CO,73.3538445,1,2.24
OCC(=O)CO,OCC(O)CO,94.523251,1,2.19
CCC(C)C#C,CCC(C)CC,140.8698898,2,4.68
CCC(O)C#C,CCC(O)CC,147.3233687,2,4.58
CC(CO)C=O,CC(CO)CO,62.985745,1,2.24
CCC(C)C=O,CCC(C)CO,67.3204455,1,2.29
CCC(O)C=O,CCC(O)CO,65.3828265,1,2.24
COC(C)C=O,COC(C)CO,77.341979,1,2.24
OCC(O)C=O,OCC(O)CO,64.6371845,1,2.19
CC1CCC1=O,CC1CCC1O,46.2114255,1,2.34
CC1OCC1=O,CC1OCC1O,54.620902,1,2.29
OC1CCC1=O,OC1CCC1O,59.17877,1,2.29
O=C1CC=CC1,OC1CCCC1,77.966848,2,4.68
O=C1CCC=C1,OC1CCCC1,70.50648975,2,4.68
O=C1CCCC1,OC1CCCC1,45.594433,1,2.34
O=C1CCOC1,OC1CCOC1,56.091182,1,2.29
